order_id,date,customer_name,product,quantity,price_per_unit,total_price
3b9ca76c,23-08-2024,Tara Butler,Laptop,4,1290.740695,5162.96278
0fa43527,18-06-2024,Paula Patel,Smartwatch,3,1008.742164,3026.226493
99d5983f,03-07-2024,Susan Pierce,Laptop,2,1535.841927,3071.683853
edabc662,16-06-2024,Erika James,Phone,2,510.3790271,1020.758054
37af153a,29-06-2024,Joshua Griffin,Smartwatch,3,329.8541741,989.5625222
d1df470f,27-07-2024,Gregory Thomas,Smartwatch,2,344.8363289,689.6726577
777a963b,05-06-2024,Jermaine Chapman,Headphones,5,829.2608222,4146.304111
a21360dd,20-11-2024,Taylor Rodriguez,Phone,2,1408.463476,2816.926953
56110a82,22-01-2025,Joseph Potter,Smartwatch,4,566.9174401,2267.66976
93a97e14,28-04-2024,Joshua Mccarthy,Headphones,1,1477.054931,1477.054931
b8c42bdf,16-06-2024,Kimberly Evans,Smartwatch,1,1978.547979,1978.547979
4ea3817c,24-02-2025,Vanessa Poole,Tablet,3,889.887624,2669.662872
d06ee4fd,19-01-2025,Fernando Pearson,Smartwatch,5,755.068155,3775.340775
330804d0,04-06-2024,Shawn Bruce,Laptop,3,311.1916682,933.5750047
b49487a1,06-03-2025,Grace White,Tablet,1,404.0381942,404.0381942
013f8660,26-02-2025,Rebecca Dorsey,Headphones,5,821.2124826,4106.062413
9d3744fb,02-12-2024,Destiny Hernandez,Headphones,4,1673.643379,6694.573517
d4feb5e5,13-03-2024,Todd Rodgers,Laptop,5,270.6970478,1353.485239
0fbe754c,12-08-2024,Richard Friedman,Headphones,3,858.6245581,2575.873674
b031f222,08-03-2025,Kevin Miller,Tablet,5,1696.370091,8481.850454
beaa3fff,09-01-2025,Alan Moore,Laptop,5,505.1010479,2525.505239
057a7d8e,01-12-2024,Monique Mendoza,Tablet,2,1004.906187,2009.812373
8f7f7a7c,17-08-2024,Mary Terry,Headphones,2,497.2523713,994.5047427
096d2b13,18-02-2025,Robert Harper,Headphones,1,1830.550273,1830.550273
db72f1fe,15-02-2025,Donna Martinez,Tablet,1,272.091791,272.091791
a423c7fd,11-07-2024,Christine Hernandez,Phone,2,1292.312819,2584.625639
9337aef2,14-10-2024,Dale Rivera,Smartwatch,5,1767.162301,8835.811503
8055715c,30-11-2024,Christopher Long,Laptop,5,903.3389041,4516.69452
ea9f328d,10-09-2024,Frank Ortiz,Headphones,1,957.0974021,957.0974021
fc6dad12,07-01-2025,Timothy Harris,Phone,4,859.2578792,3437.031517
0bb6c340,31-10-2024,Patricia Collier,Headphones,3,1318.5479,3955.6437
bc4c337b,09-03-2025,Cynthia Swanson,Headphones,4,1728.985252,6915.941008
2a9e6763,16-03-2024,Alyssa Lewis,Headphones,4,223.0924169,892.3696674
435d4566,23-05-2024,Tony Guerrero,Tablet,5,280.448352,1402.24176
e94fbcf2,18-05-2024,Dr. Christopher Butler,Smartwatch,4,1574.318478,6297.273914
4402d504,04-01-2025,Alison Anderson,Smartwatch,2,1496.672883,2993.345765
58ad08bf,06-02-2025,Robert Lee,Laptop,3,969.8978523,2909.693557
194a9d37,04-05-2024,Frederick West,Laptop,1,842.649988,842.649988
488b8989,27-12-2024,Roberta Freeman,Headphones,1,1766.328216,1766.328216
e1b30cb9,24-11-2024,Kimberly Sullivan,Tablet,3,1771.310776,5313.932329
1c031b38,13-11-2024,Brett Freeman,Laptop,2,408.7389786,817.4779572
c7ef4656,05-11-2024,Connie Brown,Laptop,5,1449.16527,7245.826352
8bc410b1,14-10-2024,Matthew Smith,Laptop,2,1054.51994,2109.03988
ed88192e,17-08-2024,Katelyn Smith,Tablet,5,1562.105266,7810.526328
dc3fb681,01-07-2024,Jennifer Terry,Headphones,5,1916.846265,9584.231323
1b40dbb7,25-04-2024,Sandra Delacruz,Smartwatch,1,968.7860234,968.7860234
139c8904,19-08-2024,Tammy Wright,Smartwatch,5,371.7414178,1858.707089
47e3b30e,25-02-2025,Keith Ramirez,Tablet,1,1544.886139,1544.886139
f44010a9,02-07-2024,Jacob Gordon,Smartwatch,3,998.8253665,2996.4761
31e43001,13-03-2024,Benjamin Barnes,Phone,5,1143.365695,5716.828473
8bbdf777,18-06-2024,Victoria Robinson,Smartwatch,1,262.227137,262.227137
dad926c0,17-03-2024,Jesse Freeman DDS,Laptop,1,1497.398063,1497.398063
1707e5cf,30-07-2024,Jennifer Baker,Smartwatch,5,1123.175421,5615.877104
bf447e98,17-11-2024,Jennifer Gillespie,Tablet,5,161.1967539,805.9837696
26784f00,02-04-2024,Tanya Clark,Headphones,2,1628.142333,3256.284666
96a157d2,07-01-2025,Christopher Delgado,Phone,1,685.9965337,685.9965337
1e08790a,26-09-2024,Beth Sanchez,Headphones,2,899.7883385,1799.576677
8f75fa21,08-12-2024,Kathryn Baker,Smartwatch,5,1216.849003,6084.245013
94cb4447,23-02-2025,Connor Martin,Headphones,4,1805.997144,7223.988577
f3d99d2c,12-08-2024,Melody Potter,Phone,5,1681.769906,8408.849532
b080971e,27-04-2024,Mr. Kevin Barker,Laptop,2,828.8583397,1657.716679
95106c50,18-02-2025,Robert Pace,Smartwatch,2,687.1010587,1374.202117
4ae51f16,06-01-2025,Jeffrey Miller,Smartwatch,3,1027.294442,3081.883325
3e0130d4,16-02-2025,Veronica Stout,Laptop,2,1776.933499,3553.866999
2b338982,16-02-2025,Randy Reynolds,Headphones,5,819.2299995,4096.149997
e10ed904,29-11-2024,Robert Thompson,Headphones,1,160.9236227,160.9236227
c81154b8,16-04-2024,Rhonda Townsend,Tablet,2,688.6875518,1377.375104
738b4b22,25-06-2024,Douglas Schultz,Smartwatch,2,170.7956352,341.5912703
4f1b833b,11-10-2024,Laurie Sanders,Tablet,1,1040.484547,1040.484547
3fb1a18d,03-07-2024,Joan Castillo,Phone,1,136.1356946,136.1356946
3a829cbb,12-12-2024,Michael Torres,Phone,2,1787.914599,3575.829198
35cebd32,04-10-2024,Patricia Johnson,Phone,1,1904.824946,1904.824946
c57863a2,26-06-2024,Sara Chavez,Laptop,4,1390.935723,5563.742894
b6770ea9,08-04-2024,Savannah Green,Laptop,3,1383.567289,4150.701867
34b8a9a4,04-07-2024,Jesse Gray,Smartwatch,3,1430.187891,4290.563672
c3ad8278,10-08-2024,Christopher Powers,Tablet,1,930.1101249,930.1101249
52dd0bdd,20-11-2024,Tyler Blair,Smartwatch,2,564.2804194,1128.560839
